[1] Anomaly score: 0.9999999990760734 | label: 0
[2] Anomaly score: 0.980853506076855 | label: 0
[3] Anomaly score: 0.9794366571361132 | label: 0
[4] Anomaly score: 0.9277653745972091 | label: 0
[5] Anomaly score: 0.9246172913288743 | label: 0
[6] Anomaly score: 0.9071403539098284 | label: 0
[7] Anomaly score: 0.9433514178453395 | label: 0
[8] Anomaly score: 0.9391191984223476 | label: 0
[9] Anomaly score: 0.9144254951051352 | label: 0
[10] Anomaly score: 0.9017387054357465 | label: 0
[11] Anomaly score: 0.9268306772363017 | label: 0
[12] Anomaly score: 0.9281460205812889 | label: 0
[13] Anomaly score: 0.9646732321535776 | label: 0
[14] Anomaly score: 0.9266995658417854 | label: 0
[15] Anomaly score: 0.9339360689391264 | label: 0
[16] Anomaly score: 0.9429890992604931 | label: 0
[17] Anomaly score: 0.9485003596799906 | label: 0
[18] Anomaly score: 0.8662307792208275 | label: 0
[19] Anomaly score: 0.8546795834039438 | label: 0
[20] Anomaly score: 0.7970938376624058 | label: 0
[21] Anomaly score: 0.8441346322949751 | label: 0
[22] Anomaly score: 0.8346946118897938 | label: 0
[23] Anomaly score: 0.8352655808659136 | label: 0
[24] Anomaly score: 0.7902520785485551 | label: 0
[25] Anomaly score: 0.7217647023129661 | label: 0
[26] Anomaly score: 0.7105786446808109 | label: 0
[27] Anomaly score: 0.6970248280476847 | label: 1
[28] Anomaly score: 0.623526317921681 | label: 1
[29] Anomaly score: 0.6097004098999348 | label: 1
[30] Anomaly score: 0.6335679704516997 | label: 1
[31] Anomaly score: 0.6005857008311477 | label: 1
[32] Anomaly score: 0.6616388495276653 | label: 1
[33] Anomaly score: 0.5845738980008242 | label: 1
[34] Anomaly score: 0.5691982673938935 | label: 1
[35] Anomaly score: 0.5642925160490713 | label: 1
[36] Anomaly score: 0.5749728079523795 | label: 1
[37] Anomaly score: 0.5361120250276901 | label: 1
[38] Anomaly score: 0.4762089206330731 | label: 1
[39] Anomaly score: 0.4936097288553029 | label: 1
[40] Anomaly score: 0.5018997049585836 | label: 1
[41] Anomaly score: 0.4676789260898309 | label: 1
[42] Anomaly score: 0.420034737082498 | label: 1
[43] Anomaly score: 0.4328445317967421 | label: 1
[44] Anomaly score: 0.4804073048574801 | label: 1
[45] Anomaly score: 0.42419681895842337 | label: 1
[46] Anomaly score: 0.4273879011249598 | label: 1
[47] Anomaly score: 0.3971998549875424 | label: 1
[48] Anomaly score: 0.43326817667902356 | label: 1
[49] Anomaly score: 0.41535878312806473 | label: 1
[50] Anomaly score: 0.4011180414736685 | label: 1
[51] Anomaly score: 0.4111498254040999 | label: 1
[52] Anomaly score: 0.3753120060029782 | label: 1
[53] Anomaly score: 0.35985178739958523 | label: 1
[54] Anomaly score: 0.365838150399212 | label: 1
[55] Anomaly score: 0.35119561576162034 | label: 1
[56] Anomaly score: 0.37745419701338334 | label: 1
[57] Anomaly score: 0.3619100953134987 | label: 1
[58] Anomaly score: 0.3317484829249758 | label: 1
[59] Anomaly score: 0.3452208836115071 | label: 1
[60] Anomaly score: 0.31082669935000695 | label: 1
[61] Anomaly score: 0.32096950502579497 | label: 1
[62] Anomaly score: 0.3148192527830227 | label: 1
[63] Anomaly score: 0.33145559698722543 | label: 1
[64] Anomaly score: 0.31093278679556996 | label: 1
[65] Anomaly score: 0.2836073394384275 | label: 1
[66] Anomaly score: 0.29582325592750985 | label: 1
[67] Anomaly score: 0.2950157930112811 | label: 1
[68] Anomaly score: 0.28532623801653634 | label: 1
[69] Anomaly score: 0.2683427305768533 | label: 1
[70] Anomaly score: 0.2963639142048974 | label: 1
[71] Anomaly score: 0.3009126337146521 | label: 1
[72] Anomaly score: 0.2958796479251513 | label: 1
[73] Anomaly score: 0.3281626567749491 | label: 1
[74] Anomaly score: 0.3136551104817117 | label: 1
[75] Anomaly score: 0.262672515214004 | label: 1
[76] Anomaly score: 0.26518759830881333 | label: 1
[77] Anomaly score: 0.24805570942533622 | label: 1
[78] Anomaly score: 0.24607000620838612 | label: 1
[79] Anomaly score: 0.22891767522576395 | label: 1
[80] Anomaly score: 0.2553281624211737 | label: 1
[81] Anomaly score: 0.21570503017836865 | label: 1
[82] Anomaly score: 0.242042912676815 | label: 1
[83] Anomaly score: 0.242283636016747 | label: 1
[84] Anomaly score: 0.24876131429582504 | label: 1
[85] Anomaly score: 0.26847525177131076 | label: 1
[86] Anomaly score: 0.23976326617215876 | label: 1
[87] Anomaly score: 0.2471573144129106 | label: 1
[88] Anomaly score: 0.22605119949565122 | label: 1
[89] Anomaly score: 0.25796730791079425 | label: 1
[90] Anomaly score: 0.24188008078362525 | label: 1
[91] Anomaly score: 0.2514508601333377 | label: 1
[92] Anomaly score: 0.24119139351242885 | label: 1
[93] Anomaly score: 0.21006160101439902 | label: 1
[94] Anomaly score: 0.22993942773303025 | label: 1
[95] Anomaly score: 0.20787182925598388 | label: 1
[96] Anomaly score: 0.24481563671084877 | label: 1
[97] Anomaly score: 0.24920575372723686 | label: 1
[98] Anomaly score: 0.2093655122935122 | label: 1
[99] Anomaly score: 0.2050885317223923 | label: 1
[100] Anomaly score: 0.22495684229142154 | label: 1
[101] Anomaly score: 0.21705385627195545 | label: 1
[102] Anomaly score: 0.2078767635557775 | label: 1
[103] Anomaly score: 0.2178673108379336 | label: 1
[104] Anomaly score: 0.23779589035444212 | label: 1
[105] Anomaly score: 0.20217870464409268 | label: 1
[106] Anomaly score: 0.1791809906559474 | label: 1
[107] Anomaly score: 0.21622383655667013 | label: 1
[108] Anomaly score: 0.22203256476372632 | label: 1
[109] Anomaly score: 0.2441258920896966 | label: 1
[110] Anomaly score: 0.23797423004698326 | label: 1
[111] Anomaly score: 0.21623159045634582 | label: 1
[112] Anomaly score: 0.2059929183845673 | label: 1
[113] Anomaly score: 0.20230523418880073 | label: 1
[114] Anomaly score: 0.1633796004668236 | label: 1
[115] Anomaly score: 0.20888759011350078 | label: 1
[116] Anomaly score: 0.21340247442467059 | label: 1
[117] Anomaly score: 0.16993481774265864 | label: 1
